name,brand,cpu_name,cpu_brand,cpu_core_num,cpu_thread_num,gpu,Intel_gpu,AMD_gpu,NVIDIA_gpu,weight,battery,monitor_size,monitor_resolution_x,monitor_resolution_y,monitor_panel,monitor_display,monitor_torch_screen,monitor_blue_light_filter,monitor_LED_backlit,monitor_anti_glare,monitor_sRGB,monitor_refresh_rate,connection_type_c,connection_usb_a,connection_thunderbolt,ram_capacity,ram_type,ram_speed,HDD_capacity,SSD_capacity,price
Lenovo Ideapad 1 (Chính hãng) (81VT006FVN),Lenovo,Intel Celeron N5030,Intel,4.0,4.0,Intel UHD Graphics 605,1.0,0.0,0.0,,32.0,11.6,1366.0,768.0,TN,Matte,0,0,0,0,,60.0,0.0,2.0,0,4.0,DDR4,2400.0,0.0,256.0,10490000.0
Cổng chuyển HyperDriver Gen 2 16-IN-1 (HD-G2TB3),Other,Intel Core i7 10875H,Intel,8.0,16.0,Intel UHD 630,1.0,0.0,0.0,2.14,80.0,15.0,1920.0,1080.0,IPS,Matte,0,0,0,0,100.0,360.0,2.0,3.0,1,32.0,DDR4,2933.0,0.0,1024.0,10500000.0
MSI Modern 14 B11 (1028VN),MSI,Intel Core i3 1115G4,Intel,2.0,4.0,Intel® UHD Graphics,1.0,0.0,0.0,1.3,39.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,,3200.0,0.0,256.0,10590000.0
Asus Vivobook 14 X413JA,Asus,Intel Core i3 1005G1,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.4,42.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,1.0,2.0,0,4.0,DDR4,2400.0,0.0,128.0,10990000.0
MSI Modern 14 B10MW-640 Ultra Thin,MSI,Intel Core i5-10210U,Intel,4.0,8.0,Intel UHD Graphics,1.0,0.0,0.0,1.18,39.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,65.0,60.0,1.0,2.0,0,8.0,,3200.0,0.0,128.0,10990000.0
Lenovo IdeaPad 3 14 (Intel Gen 11) (82H700D6VN),Lenovo,Intel Core i3-1115G4,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.41,38.0,14.0,1920.0,1080.0,TN,,0,0,0,0,65.0,60.0,1.0,0.0,0,8.0,,3200.0,0.0,512.0,11390000.0
Lenovo IdeaPad 3 15 (Intel Gen 11) (82H800M5VN),Lenovo,Intel Core i3-1115G4,Intel,2.0,4.0,UHD Graphics,1.0,0.0,0.0,1.65,38.0,15.6,1920.0,1080.0,TN,,0,0,0,0,,60.0,1.0,2.0,0,8.0,,3200.0,0.0,256.0,11390000.0
Laptop Hp 340s G7 (2G5B7PA),HP,Intel Core i3 1005G1,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,,41.0,14.0,1366.0,768.0,TN,Matte,0,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,2666.0,0.0,256.0,11890000.0
Dell Latitude 7400,Dell,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.4,60.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,95.0,60.0,1.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,11990000.0
Acer Aspire 3 15 Intel (Chính hãng) (A315-57G-524Z),Acer,Intel Core i5 1035G1,Intel,2.0,4.0,"Intel UHD, Nvidia MX 330",1.0,0.0,0.0,,36.0,15.6,1920.0,1080.0,TFT,Matte,0,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2400.0,1.0,512.0,11990000.0
Dell Inspiron 3505,Dell,AMD Ryzen 3 3450U,AMD,4.0,8.0,AMD Radeon Vega 8 Graphics,0.0,1.0,0.0,,42.0,15.6,1920.0,1080.0,WVA,Matte,1,0,0,0,,60.0,0.0,3.0,0,8.0,DDR4,2400.0,0.0,256.0,11990000.0
Lenovo ThinkPad T480s,Lenovo,Intel Core i7 8550U,Intel,4.0,8.0,"Intel UHD 620, Nvidia Geforce MX150",1.0,0.0,0.0,1.3,57.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,2.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,11990000.0
Asus Zenbook Q408UG,Asus,AMD Ryzen 5 5500U,AMD,6.0,12.0,"AMD Radeon Graphics, Nvidia MX 450",0.0,1.0,0.0,,67.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,90.0,60.0,2.0,1.0,0,8.0,,4266.0,0.0,256.0,11990000.0
Lenovo ThinkPad X390,Lenovo,Intel Core i7 8665U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.3,48.0,13.0,1920.0,1080.0,IPS,Matte,0,0,0,0,96.0,60.0,2.0,2.0,1,8.0,DDR4,2400.0,0.0,256.0,11990000.0
Asus Vivobook F412DA,Asus,AMD Ryzen 3 3250U,AMD,2.0,4.0,AMD Radeon Graphics,0.0,1.0,0.0,,37.0,14.0,1920.0,1080.0,,Matte,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,256.0,11990000.0
Acer Aspire 3 15 Intel (Chính hãng) (NX.HS5SV.001),Acer,Intel Core i3 1005G1,Intel,2.0,4.0,Intel UHD G1,1.0,0.0,0.0,1.9,36.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2666.0,0.0,256.0,11990000.0
ASUS Vivobook 15 D515 (D515DA-EJ711T),Asus,Ryzen Ryzen 3 3250U,AMD,2.0,4.0,AMD Radeon Graphics,0.0,1.0,0.0,,,15.6,1920.0,1080.0,TN,,0,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,2400.0,0.0,512.0,12490000.0
Lenovo Ideapad 3 15 (Intel),Lenovo,Intel Core i3 10110U,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,,35.0,15.6,1366.0,768.0,TN,Matte,1,0,0,0,,60.0,0.0,3.0,0,8.0,DDR4,2666.0,0.0,256.0,12490000.0
HP Pavilion 15 (Intel Gen 11) (4P5G7PA),HP,Intel Core i5-1135G7,Intel,4.0,8.0,Iris Xe,0.0,0.0,0.0,1.75,41.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,12790000.0
Dell Inspiron 14 5410,Dell,Intel Core i 5 11320H,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.44,54.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,12990000.0
Lenovo ThinkPad T570,Lenovo,Intel Intel Core I7-7600U,Intel,2.0,4.0,Intel HD Graphic 620,1.0,0.0,0.0,1.97,,15.6,1920.0,1080.0,IPS,,0,0,0,1,,,1.0,3.0,1,8.0,DDR3L,1600.0,0.0,256.0,12990000.0
Lenovo Ideapad 3 15 (AMD),Lenovo,AMD Ryzen 3 3250U,AMD,2.0,4.0,AMD Radeon Graphics,0.0,1.0,0.0,,35.0,15.6,1920.0,1080.0,TN,Matte,0,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2400.0,0.0,256.0,12990000.0
AVITA PURA 14,AVITA,Intel® Core i5-8279U,Intel,4.0,8.0,Intel® Iris® Plus 655,1.0,0.0,0.0,1.35,36.7,14.0,1366.0,768.0,TFT,,0,0,0,0,,,1.0,2.0,0,8.0,,2400.0,0.0,256.0,12990000.0
Xiaomi RedmiBook 15 (JYU4505AP),Xiaomi,Intel Core i3-1115G4,Intel,2.0,4.0,Đồ họa Intel® Iris® UHD,1.0,0.0,0.0,1.8,48.0,15.0,1920.0,1080.0,IPS,,0,0,0,1,,,0.0,3.0,0,8.0,DDR4,3200.0,0.0,256.0,12990000.0
Surface Laptop Go,Microsoft,Intel Core i5 1035G1,Intel,4.0,8.0,Intel UHD G1,1.0,0.0,0.0,1.11,39.0,12.0,1536.0,1024.0,IPS,Glossy,1,0,0,0,100.0,60.0,1.0,1.0,0,8.0,,3733.0,0.0,128.0,12990000.0
Lenovo IdeaPad 5 15,Lenovo,Intel Core i5 1035G1,Intel,4.0,8.0,Intel UHD G1,1.0,0.0,0.0,1.66,57.0,15.0,1920.0,1080.0,TN,Matte,0,0,0,0,,60.0,1.0,2.0,1,8.0,DDR4,3200.0,0.0,512.0,12990000.0
Dell Inspiron 15 5505,Dell,AMD Ryzen 5 4500U,AMD,6.0,6.0,Radeon Mobile,0.0,1.0,0.0,1.83,53.0,15.0,1920.0,1080.0,WVA,Matte,0,0,0,0,61.0,60.0,1.0,2.0,0,16.0,DDR4,3200.0,0.0,512.0,12990000.0
Dell XPS 13 7390,Dell,Intel Core i5 10210U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.29,52.0,13.3,1920.0,1080.0,IPS,Glossy,1,0,0,0,95.0,60.0,3.0,0.0,1,8.0,LPDDR3,2133.0,0.0,256.0,12990000.0
Dell Inspiron 15 5502,Dell,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.7,53.0,15.6,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,12990000.0
Samsung Galaxy Book Flex 2 Alpha,Samsung,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.18,54.0,13.3,1920.0,1080.0,QLED,Glossy,1,0,0,0,100.0,60.0,1.0,2.0,0,8.0,,4266.0,0.0,256.0,12990000.0
Dell Inspiron 15 3511,Dell,Intel Core i5 1135G7,Intel,4.0,8.0,Intel® Iris® XE Graphics,1.0,0.0,0.0,1.73,41.0,15.6,1920.0,1080.0,WVA,Matte,1,0,0,0,64.0,60.0,0.0,2.0,0,16.0,DDR4,3200.0,1024.0,0.0,12990000.0
MSI Modern 14 B11 (1027VN),MSI,Intel Core i3 Tiger Lake - 1115G4,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,1.3,39.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,13090000.0
Dell Vostro 14 3405 (Chính hãng) (V4R53500U003W),Dell,AMD Ryzen 5 3500U,AMD,4.0,8.0,AMD Radeon Vega 6,0.0,1.0,0.0,1.64,42.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,0.0,3.0,0,8.0,DDR4,2400.0,0.0,512.0,13390000.0
Asus Vivobook 14 (X1402ZA-EK232W),Asus,Intel Core i3 1220P,Intel,10.0,12.0,Intel UHD Graphics,1.0,0.0,0.0,1.5,42.0,14.0,1920.0,1080.0,IPS,,0,0,1,1,,60.0,1.0,2.0,0,4.0,DDR4,3200.0,0.0,512.0,13490000.0
HP Pavilion 14 x360 2022,HP,Intel Core i3-1215U,Intel,6.0,8.0,Iris Xe Graphics,0.0,0.0,0.0,1.48,43.0,14.0,,,IPS,,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,13490000.0
ASUS Vivobook 15 D515 (D515UA-EJ045T),Asus,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.9,37.0,15.6,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,3200.0,0.0,512.0,13690000.0
MSI Modern 15 A10MU (Chính hãng) (667VN),MSI,Intel Core i5 10210U,Intel,4.0,8.0,Intel UHD Graphics,1.0,0.0,0.0,1.6,52.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,13890000.0
Acer Aspire 3 A315-59-381E,Acer,Intel Core i3-1215U,Intel,6.0,8.0,Intel UHD Graphics,1.0,0.0,0.0,1.7,40.0,15.6,1920.0,1080.0,TFT,,0,0,0,0,,60.0,0.0,3.0,0,8.0,DDR4,2400.0,0.0,512.0,13990000.0
Dell Inspiron 15 5515 AMD,Dell,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon™ Graphics (7 Cores),0.0,1.0,0.0,1.75,54.0,15.6,1920.0,1080.0,WVA,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,13990000.0
AVITA Liber V14 Intel (LIBER V14J-FL),AVITA,Intel Core i7 10510U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.28,37.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,1024.0,13990000.0
AVITA Liber V14 Intel (LIBER V14M-UR),AVITA,Intel Core i7 10510U,Intel,4.0,8.0,Intel UHD 620,1.0,0.0,0.0,1.28,37.0,14.0,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,2400.0,0.0,1024.0,13990000.0
Acer Aspire 3 15 Intel (Chính hãng) (NX.HS5SV.00F),Acer,Intel Core i5 1035G1,Intel,4.0,8.0,Intel UHD G1,1.0,0.0,0.0,1.9,36.0,15.6,1920.0,1080.0,IPS,Matte,1,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2666.0,0.0,256.0,13990000.0
Huawei MateBook D15 2021,Huawei,Intel Core i5-1135G7,Intel,4.0,8.0,Iris® Xᵉ Graphics,0.0,0.0,0.0,1.56,42.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,13990000.0
HP Pavilion 14-dv2050TU (6K7G7PA),HP,Intel Core i3 1215U,Intel,6.0,8.0,Intel® UHD Graphics,1.0,0.0,0.0,1.41,43.0,14.0,1920.0,1080.0,IPS,,0,0,1,0,,,1.0,2.0,0,4.0,DDR4,3200.0,0.0,256.0,13990000.0
Dell Inspiron 14 5405 (VK0MC1),Dell,AMD Ryzen 5 4500U,AMD,6.0,6.0,AMD Radeon Graphics,0.0,1.0,0.0,1.4,40.0,14.0,1920.0,1080.0,WVA,Matte,0,0,0,0,,60.0,1.0,2.0,0,16.0,DDR4,3200.0,0.0,512.0,13990000.0
Lenovo IdeaPad 3 14 (Intel Gen 11) (82H700DNVN),Lenovo,Intel Core i3 1115G4,Intel,2.0,4.0,Intel UHD G4,1.0,0.0,0.0,1.41,38.0,14.0,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,13990000.0
Huawei MateBook D14 2021,Huawei,Intel Core i3 1115G4,Intel,,,Intel UHD Graphics,1.0,0.0,0.0,1.38,56.0,14.0,1920.0,1080.0,IPS,,0,0,0,1,,,1.0,0.0,0,8.0,DDR4,3200.0,0.0,256.0,13990000.0
ASUS VivoBook 15 X515 (Intel Gen 11) (X515EA-BQ1006T),Asus,Intel Core i3 1115G4,Intel,2.0,4.0,Intel Iris XE,1.0,0.0,0.0,,,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,1.0,3.0,0,4.0,DDR4,3200.0,0.0,512.0,14290000.0
Lenovo IdeaPad 3 14 (AMD Ryzen 5000) (82KT003TVN),Lenovo,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,1.41,38.0,14.0,1920.0,1080.0,TN,Matte,1,0,0,0,,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,512.0,14290000.0
HP ProBook 440 G8,HP,AMD Ryzen 7 6800H,AMD,8.0,16.0,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,0.0,0.0,1.0,1.9,75.0,16.0,2560.0,1600.0,IPS,,0,0,0,1,100.0,120.0,1.0,2.0,0,16.0,LPDDR5,6400.0,0.0,512.0,14390000.0
Lenovo Thinkpad T14,Lenovo,Intel Core i7-12700H,Intel,14.0,20.0,Intel Arc 3 A370M,1.0,0.0,0.0,1.8,96.0,15.6,2880.0,1620.0,OLED,,1,0,0,0,100.0,120.0,2.0,1.0,1,16.0,,4800.0,0.0,1024.0,14390000.0
"Surface Laptop 3 13.5""",Microsoft,Intel Core i5 1035G7,Intel,4.0,8.0,Intel Iris G7,1.0,0.0,0.0,1.29,45.0,13.5,2256.0,1504.0,IPS,Glossy,1,0,0,0,100.0,60.0,1.0,1.0,0,8.0,,3733.0,0.0,128.0,14390000.0
Lenovo IdeaPad 5 15 (Chính hãng - Intel gen 11) (82FG01H8VN),Lenovo,Intel Core i5-1135G7,Intel,4.0,8.0,Iris XE,0.0,0.0,0.0,1.66,45.0,15.6,1920.0,1080.0,IPS,,0,0,0,0,65.0,60.0,1.0,2.0,0,8.0,DDR4,3200.0,0.0,256.0,14390000.0
"Surface Laptop 3 15""",Microsoft,AMD Ryzen 5 3580U Microsoft Surface Edition,AMD,4.0,8.0,Radeon RX Vega 9,0.0,1.0,0.0,1.29,45.0,15.0,2256.0,1504.0,IPS,Glossy,1,0,0,0,99.0,60.0,1.0,1.0,0,8.0,LPDDR3,2133.0,0.0,128.0,14390000.0
Dell Inspiron 15 3511 Intel gen 11 (Chính hãng) (P112F001BBL),Dell,Intel Core i5-1135G7,Intel,4.0,8.0,Intel® Iris® Xᵉ Graphics,1.0,0.0,0.0,1.0,41.0,15.6,1920.0,1080.0,WVA,Matte,0,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2666.0,0.0,512.0,14390000.0
HP Pavilion 14 x360 (Intel Gen 11) (2H3Q0PA),HP,Intel Core i3 1115G4,Intel,2.0,4.0,Intel UHD G4,1.0,0.0,0.0,1.61,43.0,14.0,1920.0,1080.0,IPS,Glossy,0,0,0,0,,60.0,1.0,2.0,0,4.0,,,0.0,256.0,14490000.0
MSI Modern 15 A11M (1024VN),MSI,Intel Core i5-1155G7,Intel,4.0,8.0,,,,,1.6,39.0,15.6,1920.0,1080.0,IPS,,0,0,0,1,,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,14690000.0
HP Pavilion 14 x360 (Intel Gen 11) (2H3L9PA),HP,Intel Core i3 1115G4,Intel,2.0,4.0,Intel UHD G4,1.0,0.0,0.0,1.61,43.0,14.0,1920.0,1080.0,IPS,Glossy,0,0,0,0,,60.0,1.0,2.0,0,4.0,DDR4,3200.0,0.0,512.0,14890000.0
Dell Inspiron 13 5310,Dell,Intel Core i5 11320H,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.28,54.0,13.3,1920.0,1200.0,IPS,Matte,0,0,0,0,100.0,60.0,2.0,1.0,0,16.0,LPDDR4x,4266.0,0.0,512.0,14990000.0
Asus VivoBook 14 M413 (M413IA-EK338T),Asus,AMD Ryzen 5 4500U,AMD,6.0,6.0,Radeon Graphics,0.0,1.0,0.0,1.45,50.0,14.0,1920.0,1080.0,TN,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,14990000.0
Dell Vostro 14 3400 Intel gen 11 (Chính Hãng) (70253900),Dell,Intel Core i5-1135G7,Intel,4.0,8.0,Intel Iris Xe Graphics,1.0,0.0,0.0,1.64,42.0,14.0,1920.0,1080.0,WVA,,0,0,0,0,,60.0,0.0,2.0,0,8.0,DDR4,,0.0,256.0,15190000.0
Dell Inspiron 15 3501 (Chính hãng) (P90F005DBL),Dell,Intel Core i3 1125G4,Intel,4.0,8.0,Intel UHD,1.0,0.0,0.0,,42.0,15.6,1920.0,1080.0,WVA,Matte,0,0,0,0,,60.0,0.0,3.0,0,4.0,DDR4,2400.0,0.0,256.0,15190000.0
Dell Inspiron 15 3520 (Chính hãng),Dell,Intel Core i3 1215U,Intel,,,Intel UHD Graphics,1.0,0.0,0.0,1.9,41.0,15.6,1920.0,1080.0,WVA,,0,0,0,1,,120.0,0.0,2.0,0,8.0,DDR4,2666.0,0.0,256.0,15190000.0
ASUS Vivobook 15 M513 (M513IA-EJ735T),Asus,AMD Ryzen 3 4300U,AMD,4.0,4.0,AMD Radeon Graphics,0.0,1.0,0.0,,42.0,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,,0.0,256.0,15190000.0
Acer Aspire 5 14 (Chính hãng) (A514-54-5127),Acer,Intel Core i5-1135G7,Intel,4.0,8.0,Intel® Iris® Xᵉ Graphics,1.0,0.0,0.0,1.46,48.0,14.0,1920.0,1080.0,IPS,,0,0,0,0,,60.0,2.0,2.0,0,8.0,DDR4,2666.0,0.0,512.0,15299000.0
Asus Vivobook 14 A415 (A415EA-EB557T),Asus,Intel Core i3 1115G3,Intel,2.0,4.0,Intel UHD Graphics,1.0,0.0,0.0,,42.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,,60.0,1.0,3.0,0,8.0,DDR4,2666.0,0.0,256.0,15390000.0
Asus Vivobook S14 S433 (Intel Gen 11) (S433EA-AM439T),Asus,Intel Core i5 1135G7,Intel,4.0,8.0,Intel Iris Xe,1.0,0.0,0.0,1.4,50.0,14.0,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,15390000.0
MSI Modern 15 AMD A5M 2021 (238VN),MSI,AMD Ryzen 5 5500U,AMD,6.0,12.0,AMD Radeon Graphics,0.0,1.0,0.0,,52.0,15.6,1920.0,1080.0,IPS,Matte,0,0,0,0,64.0,60.0,1.0,3.0,0,8.0,DDR4,3200.0,0.0,512.0,15490000.0
